"code","number","edition","character","series","quality","obtainedDate","obtainedTimestamp","burnValue","dye.code","dye.name","frame","morphed","trimmed","tag","alias","wishlists","fights","dropQuality","dropper","grabber","guild","worker.effort","worker.style","worker.purity","worker.grabber","worker.dropper","worker.quickness","worker.toughness","worker.vanity","worker.recoveryDate","worker.recoveryTimestamp"
"vmkq9g5","21132","2","Captain Fruhling","DOTA: Dragon's Blood","4","Thu, 09 Mar 2023 01:19:10 GMT","1678324750140","58","","","","No","No","b","","1","0","4","375842448209084417","375842448209084417","707706551829397565","34","F","S","S","S","S","F","D","",""
"vmkmff4","1811","2","Miu","Gyokou no Nikuko-chan","3","Wed, 08 Mar 2023 22:44:32 GMT","1678315472662","49","","","","No","No","","","1","0","3","375842448209084417","375842448209084417","707706551829397565","26","F","S","S","S","A","F","D","",""
"vmwttzc","23844","2","Grove Marcus","Vampire Hunter D: Bloodlust","1","Wed, 08 Mar 2023 17:05:21 GMT","1678295121188","8","","","","No","No","b","","1","0","1","375842448209084417","375842448209084417","707706551829397565","4","F","S","S","S","S","F","D","",""
"vmwrcnj","48938","1","Kaori Iba","Maburaho","2","Wed, 08 Mar 2023 11:01:56 GMT","1678273316157","2","","","","No","No","b","","0","0","2","375842448209084417","375842448209084417","707706551829397565","1","F","S","S","S","A","F","D","",""
"vmwzl3s","49984","1","Takeshi's Father","Yamishibai: Japanese Ghost Stories 5th Season","3","Wed, 08 Mar 2023 07:40:47 GMT","1678261247150","2","","","","No","No","b","","1","0","3","375842448209084417","375842448209084417","707706551829397565","1","F","S","S","S","A","F","D","",""
"vmwnqv7","11677","3","Kaname Nojima","Shigofumi","3","Wed, 08 Mar 2023 05:45:52 GMT","1678254352350","31","","","","No","No","b","","0","0","3","375842448209084417","375842448209084417","707706551829397565","19","F","S","S","S","S","F","D","",""
"vmwbks9","25313","2","Rickert","Berserk","3","Wed, 08 Mar 2023 03:56:58 GMT","1678247818600","54","","","","No","No","","","10","0","3","375842448209084417","375842448209084417","707706551829397565","30","F","S","S","S","S","F","D","",""
"vmw5ql5","9538","2","Kihachi","The Ones Within","3","Wed, 08 Mar 2023 03:04:58 GMT","1678244698615","31","","","","No","No","","","0","0","3","375842448209084417","375842448209084417","707706551829397565","18","F","S","S","S","A","F","D","",""
"vm2csrt","6836","4","Haru Urara","Uma Musume: Pretty Derby","0","Tue, 07 Mar 2023 20:09:30 GMT","1678219770635","10","","","","No","No","b","","5","0","0","375842448209084417","375842448209084417","707706551829397565","6","F","S","S","S","S","F","D","",""
"vm2xmkw","46673","1","Eldora Daughtress","Gundam Build Divers Re:RISE","2","Tue, 07 Mar 2023 18:57:12 GMT","1678215432413","3","","","","No","No","b","","1","0","2","375842448209084417","375842448209084417","707706551829397565","1","F","S","S","S","A","F","D","",""
"vm2ddb4","5609","4","Mikan Tsumiki","Danganronpa 2: Goodbye Despair","0","Tue, 07 Mar 2023 17:19:56 GMT","1678209596734","19","","","","No","No","fs","","174","0","0","375842448209084417","375842448209084417","707706551829397565","13","F","S","S","S","A","F","D","",""
"vm23rk2","1232","3","Alhaitham","Genshin Impact","3","Tue, 07 Mar 2023 11:21:25 GMT","1678188085186","185","","","","No","No","","","1009","0","3","375842448209084417","375842448209084417","707706551829397565","108","F","S","S","S","S","F","D","",""
"vm2r5gg","49848","1","Taichi's Father","Yamishibai: Japanese Ghost Stories","3","Tue, 07 Mar 2023 09:03:16 GMT","1678179796040","2","","","","No","No","b","","0","0","3","375842448209084417","375842448209084417","707706551829397565","1","F","S","S","S","A","F","D","",""
"vm245mk","49296","1","Woman","Dojoji","3","Tue, 07 Mar 2023 08:02:04 GMT","1678176124198","7","","","","No","No","b","","1","0","3","375842448209084417","375842448209084417","707706551829397565","4","F","S","S","S","A","F","D","",""
"vm2n20t","38099","1","King Penguin Chick","Heaven's Design Team","0","Tue, 07 Mar 2023 05:00:02 GMT","1678165202278","1","","","","No","No","","","1","0","0","375842448209084417","375842448209084417","707706551829397565","0","F","S","S","S","A","F","D","",""
"vm2vn54","49602","1","Mary Kikakujou","Armed Girl's Machiavellism","2","Mon, 06 Mar 2023 21:03:26 GMT","1678136606375","10","","","","No","No","b","","4","0","2","375842448209084417","375842448209084417","707706551829397565","6","F","S","S","S","S","F","D","",""
"vmhx5hs","19561","2","Ashtart Origin","Fate/Grand Order","2","Mon, 06 Mar 2023 17:40:43 GMT","1678124443970","40","","","","No","No","","","1","0","2","375842448209084417","375842448209084417","707706551829397565","23","F","S","S","S","S","F","D","",""
"vmhdg1c","49909","1","Squishy","Pokémon XY & Z","0","Mon, 06 Mar 2023 16:43:18 GMT","1678120998174","4","","","","No","No","b","","2","0","0","375842448209084417","375842448209084417","707706551829397565","1","F","S","S","S","A","F","D","",""
"vmh75bx","313","5","Garcia Lovelace","Black Lagoon","3","Mon, 06 Mar 2023 15:19:09 GMT","1678115949780","124","","","","No","No","p","","1","0","3","375842448209084417","375842448209084417","707706551829397565","76","F","S","S","S","S","F","C","",""
"vmhgsmg","14193","1","Chameleon","Heaven's Design Team","2","Mon, 06 Mar 2023 10:14:51 GMT","1678097691974","7","","","","No","No","b","","1","0","2","375842448209084417","375842448209084417","707706551829397565","4","F","S","S","S","S","F","D","",""
